,size,false_positive_rating,model_FP,bloom_FP
0,17313,0.0014014886357610124,11590428,0
1,18313,0.0014014886357610124,11590428,0
2,19313,0.0014014886357610124,11590428,0
3,20313,0.0014014886357610124,11590428,0
4,21313,0.0014014886357610124,11590428,0
5,22313,0.0014014886357610124,11590428,0
6,23313,0.0014014886357610124,11590428,0
7,24313,0.0014014886357610124,11590428,0
8,25313,0.0014014886357610124,11590428,0
9,26313,0.0014014886357610124,11590428,0
10,27313,0.0014014886357610124,11590428,0
11,28313,0.0014014886357610124,11590428,0
